Dataset,Chart,Columns
Admission Chance.csv,Histogram,GRE Score
Admission Chance.csv,Density Plot,GRE Score
Admission Chance.csv,Box Plot,GRE Score
Admission Chance.csv,Violin Plot,GRE Score
Admission Chance.csv,Histogram,TOEFL Score
Admission Chance.csv,Density Plot,TOEFL Score
Admission Chance.csv,Box Plot,TOEFL Score
Admission Chance.csv,Violin Plot,TOEFL Score
Admission Chance.csv,Histogram, SOP
Admission Chance.csv,Density Plot, SOP
Admission Chance.csv,Box Plot, SOP
Admission Chance.csv,Violin Plot, SOP
Admission Chance.csv,Histogram,LOR 
Admission Chance.csv,Density Plot,LOR 
Admission Chance.csv,Box Plot,LOR 
Admission Chance.csv,Violin Plot,LOR 
Admission Chance.csv,Histogram,CGPA
Admission Chance.csv,Density Plot,CGPA
Admission Chance.csv,Box Plot,CGPA
Admission Chance.csv,Violin Plot,CGPA
Admission Chance.csv,Histogram,Chance of Admit 
Admission Chance.csv,Density Plot,Chance of Admit 
Admission Chance.csv,Box Plot,Chance of Admit 
Admission Chance.csv,Violin Plot,Chance of Admit 
Admission Chance.csv,Bar Chart,University Rating
Admission Chance.csv,Horizontal Bar Chart,University Rating
Admission Chance.csv,Pie Chart,University Rating
Admission Chance.csv,Donut Chart,University Rating
Admission Chance.csv,Bar Chart,Research
Admission Chance.csv,Horizontal Bar Chart,Research
Admission Chance.csv,Pie Chart,Research
Admission Chance.csv,Donut Chart,Research
Admission Chance.csv,Scatter Plot,GRE Score vs TOEFL Score
Admission Chance.csv,Bubble Chart,GRE Score vs TOEFL Score
Admission Chance.csv,Scatter Plot,GRE Score vs  SOP
Admission Chance.csv,Bubble Chart,GRE Score vs  SOP
Admission Chance.csv,Scatter Plot,GRE Score vs LOR 
Admission Chance.csv,Bubble Chart,GRE Score vs LOR 
Admission Chance.csv,Scatter Plot,GRE Score vs CGPA
Admission Chance.csv,Bubble Chart,GRE Score vs CGPA
Admission Chance.csv,Scatter Plot,GRE Score vs Chance of Admit 
Admission Chance.csv,Bubble Chart,GRE Score vs Chance of Admit 
Admission Chance.csv,Scatter Plot,TOEFL Score vs  SOP
Admission Chance.csv,Bubble Chart,TOEFL Score vs  SOP
Admission Chance.csv,Scatter Plot,TOEFL Score vs LOR 
Admission Chance.csv,Bubble Chart,TOEFL Score vs LOR 
Admission Chance.csv,Scatter Plot,TOEFL Score vs CGPA
Admission Chance.csv,Bubble Chart,TOEFL Score vs CGPA
Admission Chance.csv,Scatter Plot,TOEFL Score vs Chance of Admit 
Admission Chance.csv,Bubble Chart,TOEFL Score vs Chance of Admit 
Admission Chance.csv,Scatter Plot, SOP vs LOR 
Admission Chance.csv,Bubble Chart, SOP vs LOR 
Admission Chance.csv,Scatter Plot, SOP vs CGPA
Admission Chance.csv,Bubble Chart, SOP vs CGPA
Admission Chance.csv,Scatter Plot, SOP vs Chance of Admit 
Admission Chance.csv,Bubble Chart, SOP vs Chance of Admit 
Admission Chance.csv,Scatter Plot,LOR  vs CGPA
Admission Chance.csv,Bubble Chart,LOR  vs CGPA
Admission Chance.csv,Scatter Plot,LOR  vs Chance of Admit 
Admission Chance.csv,Bubble Chart,LOR  vs Chance of Admit 
Admission Chance.csv,Scatter Plot,CGPA vs Chance of Admit 
Admission Chance.csv,Bubble Chart,CGPA vs Chance of Admit 
Admission Chance.csv,Box Plot,University Rating vs GRE Score
Admission Chance.csv,Violin Plot,University Rating vs GRE Score
Admission Chance.csv,Bar Chart,University Rating vs GRE Score
Admission Chance.csv,Stacked Bar Chart,University Rating vs GRE Score
Admission Chance.csv,Box Plot,University Rating vs TOEFL Score
Admission Chance.csv,Violin Plot,University Rating vs TOEFL Score
Admission Chance.csv,Bar Chart,University Rating vs TOEFL Score
Admission Chance.csv,Stacked Bar Chart,University Rating vs TOEFL Score
Admission Chance.csv,Box Plot,University Rating vs  SOP
Admission Chance.csv,Violin Plot,University Rating vs  SOP
Admission Chance.csv,Bar Chart,University Rating vs  SOP
Admission Chance.csv,Stacked Bar Chart,University Rating vs  SOP
Admission Chance.csv,Box Plot,University Rating vs LOR 
Admission Chance.csv,Violin Plot,University Rating vs LOR 
Admission Chance.csv,Bar Chart,University Rating vs LOR 
Admission Chance.csv,Stacked Bar Chart,University Rating vs LOR 
Admission Chance.csv,Box Plot,University Rating vs CGPA
Admission Chance.csv,Violin Plot,University Rating vs CGPA
Admission Chance.csv,Bar Chart,University Rating vs CGPA
Admission Chance.csv,Stacked Bar Chart,University Rating vs CGPA
Admission Chance.csv,Box Plot,University Rating vs Chance of Admit 
Admission Chance.csv,Violin Plot,University Rating vs Chance of Admit 
Admission Chance.csv,Bar Chart,University Rating vs Chance of Admit 
Admission Chance.csv,Stacked Bar Chart,University Rating vs Chance of Admit 
Admission Chance.csv,Box Plot,Research vs GRE Score
Admission Chance.csv,Violin Plot,Research vs GRE Score
Admission Chance.csv,Bar Chart,Research vs GRE Score
Admission Chance.csv,Stacked Bar Chart,Research vs GRE Score
Admission Chance.csv,Box Plot,Research vs TOEFL Score
Admission Chance.csv,Violin Plot,Research vs TOEFL Score
Admission Chance.csv,Bar Chart,Research vs TOEFL Score
Admission Chance.csv,Stacked Bar Chart,Research vs TOEFL Score
Admission Chance.csv,Box Plot,Research vs  SOP
Admission Chance.csv,Violin Plot,Research vs  SOP
Admission Chance.csv,Bar Chart,Research vs  SOP
Admission Chance.csv,Stacked Bar Chart,Research vs  SOP
Admission Chance.csv,Box Plot,Research vs LOR 
Admission Chance.csv,Violin Plot,Research vs LOR 
Admission Chance.csv,Bar Chart,Research vs LOR 
Admission Chance.csv,Stacked Bar Chart,Research vs LOR 
Admission Chance.csv,Box Plot,Research vs CGPA
Admission Chance.csv,Violin Plot,Research vs CGPA
Admission Chance.csv,Bar Chart,Research vs CGPA
Admission Chance.csv,Stacked Bar Chart,Research vs CGPA
Admission Chance.csv,Box Plot,Research vs Chance of Admit 
Admission Chance.csv,Violin Plot,Research vs Chance of Admit 
Admission Chance.csv,Bar Chart,Research vs Chance of Admit 
Admission Chance.csv,Stacked Bar Chart,Research vs Chance of Admit 
Admission Chance.csv,Pair Plot,"GRE Score, TOEFL Score,  SOP, LOR , CGPA, Chance of Admit "
Admission Chance.csv,Correlation Heatmap,"GRE Score, TOEFL Score,  SOP, LOR , CGPA, Chance of Admit "
Admission Chance.csv,Treemap,"University Rating, Research"
Admission Chance.csv,Sunburst Chart,"University Rating, Research"
Admission Chance.csv,Sankey Diagram,"University Rating, Research"
Admission Chance.csv,Funnel Chart,University Rating vs GRE Score
Adult Salary.csv,Histogram,Age
Adult Salary.csv,Density Plot,Age
Adult Salary.csv,Box Plot,Age
Adult Salary.csv,Violin Plot,Age
Adult Salary.csv,Bar Chart,Gender
Adult Salary.csv,Horizontal Bar Chart,Gender
Adult Salary.csv,Pie Chart,Gender
Adult Salary.csv,Donut Chart,Gender
Adult Salary.csv,Bar Chart,WorkingClass
Adult Salary.csv,Horizontal Bar Chart,WorkingClass
Adult Salary.csv,Pie Chart,WorkingClass
Adult Salary.csv,Donut Chart,WorkingClass
Adult Salary.csv,Bar Chart,Education
Adult Salary.csv,Horizontal Bar Chart,Education
Adult Salary.csv,Pie Chart,Education
Adult Salary.csv,Donut Chart,Education
Adult Salary.csv,Bar Chart,MaritalStatus
Adult Salary.csv,Horizontal Bar Chart,MaritalStatus
Adult Salary.csv,Pie Chart,MaritalStatus
Adult Salary.csv,Donut Chart,MaritalStatus
Adult Salary.csv,Bar Chart,Occupation
Adult Salary.csv,Horizontal Bar Chart,Occupation
Adult Salary.csv,Pie Chart,Occupation
Adult Salary.csv,Donut Chart,Occupation
Adult Salary.csv,Bar Chart,Relationship
Adult Salary.csv,Horizontal Bar Chart,Relationship
Adult Salary.csv,Pie Chart,Relationship
Adult Salary.csv,Donut Chart,Relationship
Adult Salary.csv,Bar Chart,Race
Adult Salary.csv,Horizontal Bar Chart,Race
Adult Salary.csv,Pie Chart,Race
Adult Salary.csv,Donut Chart,Race
Adult Salary.csv,Bar Chart,NativeCountry
Adult Salary.csv,Horizontal Bar Chart,NativeCountry
Adult Salary.csv,Pie Chart,NativeCountry
Adult Salary.csv,Donut Chart,NativeCountry
Adult Salary.csv,Bar Chart,Income
Adult Salary.csv,Horizontal Bar Chart,Income
Adult Salary.csv,Pie Chart,Income
Adult Salary.csv,Donut Chart,Income
Adult Salary.csv,Box Plot,Gender vs Age
Adult Salary.csv,Violin Plot,Gender vs Age
Adult Salary.csv,Bar Chart,Gender vs Age
Adult Salary.csv,Stacked Bar Chart,Gender vs Age
Adult Salary.csv,Box Plot,WorkingClass vs Age
Adult Salary.csv,Violin Plot,WorkingClass vs Age
Adult Salary.csv,Bar Chart,WorkingClass vs Age
Adult Salary.csv,Stacked Bar Chart,WorkingClass vs Age
Adult Salary.csv,Box Plot,Education vs Age
Adult Salary.csv,Violin Plot,Education vs Age
Adult Salary.csv,Bar Chart,Education vs Age
Adult Salary.csv,Stacked Bar Chart,Education vs Age
Adult Salary.csv,Box Plot,MaritalStatus vs Age
Adult Salary.csv,Violin Plot,MaritalStatus vs Age
Adult Salary.csv,Bar Chart,MaritalStatus vs Age
Adult Salary.csv,Stacked Bar Chart,MaritalStatus vs Age
Adult Salary.csv,Box Plot,Occupation vs Age
Adult Salary.csv,Violin Plot,Occupation vs Age
Adult Salary.csv,Bar Chart,Occupation vs Age
Adult Salary.csv,Stacked Bar Chart,Occupation vs Age
Adult Salary.csv,Box Plot,Relationship vs Age
Adult Salary.csv,Violin Plot,Relationship vs Age
Adult Salary.csv,Bar Chart,Relationship vs Age
Adult Salary.csv,Stacked Bar Chart,Relationship vs Age
Adult Salary.csv,Box Plot,Race vs Age
Adult Salary.csv,Violin Plot,Race vs Age
Adult Salary.csv,Bar Chart,Race vs Age
Adult Salary.csv,Stacked Bar Chart,Race vs Age
Adult Salary.csv,Box Plot,NativeCountry vs Age
Adult Salary.csv,Violin Plot,NativeCountry vs Age
Adult Salary.csv,Bar Chart,NativeCountry vs Age
Adult Salary.csv,Stacked Bar Chart,NativeCountry vs Age
Adult Salary.csv,Box Plot,Income vs Age
Adult Salary.csv,Violin Plot,Income vs Age
Adult Salary.csv,Bar Chart,Income vs Age
Adult Salary.csv,Stacked Bar Chart,Income vs Age
Adult Salary.csv,Treemap,"Gender, WorkingClass"
Adult Salary.csv,Sunburst Chart,"Gender, WorkingClass"
Adult Salary.csv,Sankey Diagram,"Gender, WorkingClass"
Adult Salary.csv,Funnel Chart,Gender vs Age
AdultIncome.csv,Histogram,age
AdultIncome.csv,Density Plot,age
AdultIncome.csv,Box Plot,age
AdultIncome.csv,Violin Plot,age
AdultIncome.csv,Histogram,fnlwgt
AdultIncome.csv,Density Plot,fnlwgt
AdultIncome.csv,Box Plot,fnlwgt
AdultIncome.csv,Violin Plot,fnlwgt
AdultIncome.csv,Histogram,education-num
AdultIncome.csv,Density Plot,education-num
AdultIncome.csv,Box Plot,education-num
AdultIncome.csv,Violin Plot,education-num
AdultIncome.csv,Histogram,capital-gain
AdultIncome.csv,Density Plot,capital-gain
AdultIncome.csv,Box Plot,capital-gain
AdultIncome.csv,Violin Plot,capital-gain
AdultIncome.csv,Histogram,capital-loss
AdultIncome.csv,Density Plot,capital-loss
AdultIncome.csv,Box Plot,capital-loss
AdultIncome.csv,Violin Plot,capital-loss
AdultIncome.csv,Histogram,hours-per-week
AdultIncome.csv,Density Plot,hours-per-week
AdultIncome.csv,Box Plot,hours-per-week
AdultIncome.csv,Violin Plot,hours-per-week
AdultIncome.csv,Bar Chart,workclass
AdultIncome.csv,Horizontal Bar Chart,workclass
AdultIncome.csv,Pie Chart,workclass
AdultIncome.csv,Donut Chart,workclass
AdultIncome.csv,Bar Chart,education
AdultIncome.csv,Horizontal Bar Chart,education
AdultIncome.csv,Pie Chart,education
AdultIncome.csv,Donut Chart,education
AdultIncome.csv,Bar Chart,marital-status
AdultIncome.csv,Horizontal Bar Chart,marital-status
AdultIncome.csv,Pie Chart,marital-status
AdultIncome.csv,Donut Chart,marital-status
AdultIncome.csv,Bar Chart,occupation
AdultIncome.csv,Horizontal Bar Chart,occupation
AdultIncome.csv,Pie Chart,occupation
AdultIncome.csv,Donut Chart,occupation
AdultIncome.csv,Bar Chart,relationship
AdultIncome.csv,Horizontal Bar Chart,relationship
AdultIncome.csv,Pie Chart,relationship
AdultIncome.csv,Donut Chart,relationship
AdultIncome.csv,Bar Chart,race
AdultIncome.csv,Horizontal Bar Chart,race
AdultIncome.csv,Pie Chart,race
AdultIncome.csv,Donut Chart,race
AdultIncome.csv,Bar Chart,sex
AdultIncome.csv,Horizontal Bar Chart,sex
AdultIncome.csv,Pie Chart,sex
AdultIncome.csv,Donut Chart,sex
AdultIncome.csv,Bar Chart,country
AdultIncome.csv,Horizontal Bar Chart,country
AdultIncome.csv,Pie Chart,country
AdultIncome.csv,Donut Chart,country
AdultIncome.csv,Bar Chart,salary
AdultIncome.csv,Horizontal Bar Chart,salary
AdultIncome.csv,Pie Chart,salary
AdultIncome.csv,Donut Chart,salary
AdultIncome.csv,Scatter Plot,age vs fnlwgt
AdultIncome.csv,Bubble Chart,age vs fnlwgt
AdultIncome.csv,Scatter Plot,age vs education-num
AdultIncome.csv,Bubble Chart,age vs education-num
AdultIncome.csv,Scatter Plot,age vs capital-gain
AdultIncome.csv,Bubble Chart,age vs capital-gain
AdultIncome.csv,Scatter Plot,age vs capital-loss
AdultIncome.csv,Bubble Chart,age vs capital-loss
AdultIncome.csv,Scatter Plot,age vs hours-per-week
AdultIncome.csv,Bubble Chart,age vs hours-per-week
AdultIncome.csv,Scatter Plot,fnlwgt vs education-num
AdultIncome.csv,Bubble Chart,fnlwgt vs education-num
AdultIncome.csv,Scatter Plot,fnlwgt vs capital-gain
